SITECODE,site_name,ms,site_type,n_occurrences,n_species,year_min,year_max,n_years
AT1102112,Zurndorfer Eichenwald und Hutweide,AT,B,4,2,2012,2018,3
AT1103112,Parndorfer Heide,AT,B,1,1,2023,2023,1
AT1106218,Siegendorfer Pußta und Heide,AT,B,3,3,2012,2021,2
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,8,6,2021,2024,2
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,13589,107,1963,2025,51
AT1114813,Südburgenländisches Hügel- und Terrassenland,AT,B,4,2,1991,2022,4
AT1119622,Auwiesen Zickenbachtal,AT,A,1,1,2019,2019,1
AT1122916,Lafnitztal,AT,B,1,1,2024,2024,1
AT1123323,Mattersburger Hügelland,AT,C,13,8,2014,2025,6
AT1125129,Parndorfer Platte - Heideboden,AT,A,63,9,2011,2025,12
AT1126129,Waasen - Hanság,AT,A,1119,41,1964,2025,32
AT1127119,Burgenländische Leithaauen,AT,B,1,1,2023,2023,1
AT1201000,Waldviertel,AT,A,44,16,1990,2025,11
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,35,14,2010,2025,11
AT1202000,March-Thaya-Auen,AT,B,468,48,1981,2025,33
AT1202V00,March-Thaya-Auen,AT,A,656,54,1981,2025,34
AT1203000,Ötscher - Dürrenstein,AT,A,2,2,2021,2024,2
AT1203A00,Ötscher - Dürrenstein,AT,B,2,2,2021,2024,2
AT1204000,Donau-Auen östlich von Wien,AT,B,91,21,2002,2025,14
AT1204V00,Donau-Auen östlich von Wien,AT,A,86,21,2009,2025,13
AT1205000,Wachau - Jauerling,AT,A,51,13,2010,2025,12
AT1205A00,Wachau,AT,B,41,13,2010,2025,9
AT1206A00,Weinviertler Klippenzone,AT,B,2,1,2021,2021,1
AT1207000,Kamp- und Kremstal,AT,A,35,11,2015,2025,7
AT1207A00,Kamp- und Kremstal,AT,B,26,11,2013,2025,9
AT1208A00,Thayatal bei Hardegg,AT,B,27,10,2013,2025,7
AT1209000,Westliches Weinviertel,AT,A,19,13,2012,2025,9
AT1209A00,Westliches Weinviertel,AT,B,13,7,2020,2025,6
AT1210000,Steinfeld,AT,A,12,6,2016,2025,5
AT1210A00,Steinfeld,AT,B,4,3,2019,2025,3
AT1211000,Wienerwald - Thermenregion,AT,A,186,27,1985,2025,18
AT1211A00,Wienerwald - Thermenregion,AT,B,160,23,1985,2025,17
AT1212000,Nordöstliche Randalpen,AT,A,14,5,2018,2025,5
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,62,17,1991,2025,11
AT1213000,Pannonische Sanddünen,AT,B,25,9,2016,2025,7
AT1213V00,Sandboden und Praterterrasse,AT,A,27,10,2016,2025,7
