SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT1102112,Zurndorfer Eichenwald und Hutweide,AT,B,2012,2018,3,4,7,4,0.5714285714285714
AT1103112,Parndorfer Heide,AT,B,2023,2023,1,1,1,0,0.0
AT1106218,Siegendorfer Pußta und Heide,AT,B,2012,2021,2,3,10,8,0.8
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,2021,2024,2,8,4,2,0.5
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,1963,2025,51,13589,63,12,0.19047619047619047
AT1114813,Südburgenländisches Hügel- und Terrassenland,AT,B,1991,2022,4,4,32,28,0.875
AT1119622,Auwiesen Zickenbachtal,AT,A,2019,2019,1,1,1,0,0.0
AT1122916,Lafnitztal,AT,B,2024,2024,1,1,1,0,0.0
AT1123323,Mattersburger Hügelland,AT,C,2014,2025,6,13,12,6,0.5
AT1125129,Parndorfer Platte - Heideboden,AT,A,2011,2025,12,63,15,3,0.2
AT1126129,Waasen - Hanság,AT,A,1964,2025,32,1119,62,30,0.4838709677419355
AT1127119,Burgenländische Leithaauen,AT,B,2023,2023,1,1,1,0,0.0
AT1201000,Waldviertel,AT,A,1990,2025,11,44,36,25,0.6944444444444444
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,2010,2025,11,35,16,5,0.3125
AT1202000,March-Thaya-Auen,AT,B,1981,2025,33,468,45,12,0.26666666666666666
AT1202V00,March-Thaya-Auen,AT,A,1981,2025,34,656,45,11,0.24444444444444444
AT1203000,Ötscher - Dürrenstein,AT,A,2021,2024,2,2,4,2,0.5
AT1203A00,Ötscher - Dürrenstein,AT,B,2021,2024,2,2,4,2,0.5
AT1204000,Donau-Auen östlich von Wien,AT,B,2002,2025,14,91,24,10,0.4166666666666667
AT1204V00,Donau-Auen östlich von Wien,AT,A,2009,2025,13,86,17,4,0.23529411764705882
AT1205000,Wachau - Jauerling,AT,A,2010,2025,12,51,16,4,0.25
AT1205A00,Wachau,AT,B,2010,2025,9,41,16,7,0.4375
AT1206A00,Weinviertler Klippenzone,AT,B,2021,2021,1,2,1,0,0.0
AT1207000,Kamp- und Kremstal,AT,A,2015,2025,7,35,11,4,0.36363636363636365
AT1207A00,Kamp- und Kremstal,AT,B,2013,2025,9,26,13,4,0.3076923076923077
AT1208A00,Thayatal bei Hardegg,AT,B,2013,2025,7,27,13,6,0.46153846153846156
AT1209000,Westliches Weinviertel,AT,A,2012,2025,9,19,14,5,0.35714285714285715
AT1209A00,Westliches Weinviertel,AT,B,2020,2025,6,13,6,0,0.0
AT1210000,Steinfeld,AT,A,2016,2025,5,12,10,5,0.5
AT1210A00,Steinfeld,AT,B,2019,2025,3,4,7,4,0.5714285714285714
AT1211000,Wienerwald - Thermenregion,AT,A,1985,2025,18,186,41,23,0.5609756097560976
AT1211A00,Wienerwald - Thermenregion,AT,B,1985,2025,17,160,41,24,0.5853658536585366
AT1212000,Nordöstliche Randalpen,AT,A,2018,2025,5,14,8,3,0.375
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,1991,2025,11,62,35,24,0.6857142857142857
AT1213000,Pannonische Sanddünen,AT,B,2016,2025,7,25,10,3,0.3
AT1213V00,Sandboden und Praterterrasse,AT,A,2016,2025,7,27,10,3,0.3
AT1214000,Hundsheimer Berge,AT,B,2016,2025,5,10,10,5,0.5
AT1215000,Bisamberg,AT,B,2024,2024,1,1,1,0,0.0
AT1216000,Tullnerfelder Donau-Auen,AT,B,2005,2025,9,50,21,12,0.5714285714285714
AT1216V00,Tullnerfelder Donau-Auen,AT,A,2005,2025,9,51,21,12,0.5714285714285714
AT1217A00,Strudengau - Nibelungengau,AT,B,1999,1999,1,3,1,0,0.0
AT1218000,Machland Süd,AT,B,1986,2024,20,103,39,19,0.48717948717948717
AT1218V00,Machland Süd,AT,A,1986,2024,20,94,39,19,0.48717948717948717
AT1219000,Niederösterreichische Alpenvorlandflüsse,AT,B,2013,2025,10,36,13,3,0.23076923076923078
AT1219V00,Pielachtal,AT,A,2024,2025,2,3,2,0,0.0
AT1220000,Feuchte Ebene - Leithaauen,AT,B,1982,2025,11,163,44,33,0.75
AT1220V00,Feuchte Ebene - Leithaauen,AT,A,2015,2025,10,148,11,1,0.09090909090909091
AT1301000,Nationalpark Donau-Auen (Wiener Teil),AT,C,2009,2025,16,134,17,1,0.058823529411764705
AT1302000,Naturschutzgebiet Lainzer Tiergarten,AT,C,2011,2025,13,135,15,2,0.13333333333333333
AT1303000,"Landschaftsschutzgebiet Liesing (Teil A, B und C)",AT,C,2013,2025,8,17,13,5,0.38461538461538464
AT1304000,Bisamberg (Wiener Teil),AT,C,2014,2025,7,15,12,5,0.4166666666666667
AT2101000,"Hohe Tauern, Kärnten I",AT,B,1979,2025,23,120,47,24,0.5106382978723404
AT2104000,Sablatnig Moor,AT,C,2009,2014,4,5,6,2,0.3333333333333333
AT2106000,Mussen,AT,B,2016,2016,1,1,1,0,0.0
AT2107000,Stappitzer See und Umgebung,AT,A,2014,2014,1,2,1,0,0.0
AT2111000,Völkermarkter Stausee,AT,C,2016,2016,1,2,1,0,0.0
AT2112000,Villacher Alpe (Dobratsch),AT,C,2015,2025,9,43,11,2,0.18181818181818182
AT2114000,Obere Drau,AT,C,1968,2024,8,10,57,49,0.8596491228070176
AT2116000,Görtschacher Moos - Obermoos im Gailtal,AT,C,2015,2024,2,3,10,8,0.8
AT2117000,Turner See,AT,C,2013,2013,1,1,1,0,0.0
AT2120000,Schütt - Graschelitzen,AT,C,2015,2025,6,21,11,5,0.45454545454545453
AT2124000,Untere Lavant,AT,C,2016,2017,2,5,2,0,0.0
AT2126000,Tiebelmündung - Bleistätter Moor,AT,C,2011,2025,11,150,15,4,0.26666666666666666
AT2127000,Fronwiesen,AT,B,2015,2015,1,1,1,0,0.0
AT2129000,"Hohe Tauern, Kärnten II",AT,A,1979,2025,23,120,47,24,0.5106382978723404
AT2130000,Lendspitz-Maiernigg,AT,C,2015,2025,6,56,11,5,0.45454545454545453
AT2133000,Guntschacher Au,AT,C,2015,2016,2,3,2,0,0.0
AT2134000,Mittagskogel - Karawanken Westteil,AT,B,2013,2013,1,1,1,0,0.0
AT2161000,Kronhofgraben,AT,B,2023,2023,1,1,1,0,0.0
AT2164000,Rosegger Drauschleife und Umgebung,AT,B,2016,2023,3,13,8,5,0.625
AT2165000,Koschuta,AT,B,2023,2023,1,1,1,0,0.0
AT2205000,Pürgschachen-Moos und ennsnahe Bereiche zwischen Selzthal und dem Gesäuseeingang,AT,C,2022,2025,4,8,4,0,0.0
AT2207000,"Hörfeld, Steiermark",AT,C,2020,2020,1,1,1,0,0.0
AT2208000,Lafnitztal - Neudauer Teiche,AT,C,2009,2025,6,19,17,11,0.6470588235294118
AT2209000,Niedere Tauern,AT,A,1957,2025,13,22,69,56,0.8115942028985508
AT2209003,Hochlagen der südöstlichen Schladminger Tauern,AT,B,1984,1986,2,3,3,1,0.3333333333333333
