taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
2473577,"Tetrao urogallus Linnaeus, 1758",6732,944,16,1934,2025,68,91,0.7391304347826086
2473663,"Tetrastes bonasia (Linnaeus, 1758)",8314,895,15,1958,2025,67,67,0.9852941176470589
2473671,"Bonasa bonasia (Linnaeus, 1758)",676,165,13,1957,2024,46,67,0.6764705882352942
2473966,"Perdix perdix hispaniensis Reichenow, 1892",1483,54,2,1982,2025,24,43,0.5454545454545454
2474045,"Alectoris barbara (Bonnaterre, 1790)",897,100,3,1891,2025,26,134,0.1925925925925926
2474055,"Alectoris graeca (Meisner, 1804)",3191,105,9,1947,2025,39,78,0.4936708860759494
2474056,"Alectoris graeca saxatilis (Bechstein, 1805)",6,4,2,2025,2025,1,0,1.0
2474057,"Alectoris graeca whitakeri Schiebel, 1934",2,2,1,2020,2020,1,0,1.0
2474381,"Fulica cristata Gmelin, 1789",3025,52,3,1986,2025,34,39,0.85
2474416,"Porphyrio porphyrio (Linnaeus, 1758)",31127,203,6,1978,2025,38,47,0.7916666666666666
2474621,"Porzana porzana (Linnaeus, 1766)",21923,878,24,1895,2025,81,130,0.6183206106870229
2474627,"Porzana parva (Scopoli, 1769)",1716,103,8,1953,2025,61,72,0.8356164383561644
2474628,"Porzana pusilla (Pallas, 1776)",344,20,3,1898,2022,12,124,0.096
2474864,"Chlamydotis undulata (Jacquin, 1784)",18,7,1,1997,2019,9,22,0.391304347826087
2474921,"Otis tarda Linnaeus, 1758",8262,98,10,1931,2025,41,94,0.43157894736842106
2474950,"Grus grus (Linnaeus, 1758)",287818,6150,26,1891,2025,87,134,0.6444444444444445
2475365,"Coracias garrulus Linnaeus, 1758",32655,634,19,1930,2025,74,95,0.7708333333333334
2475532,"Alcedo atthis (Linnaeus, 1758)",172999,4539,26,1905,2025,81,120,0.6694214876033058
2477804,"Picoides tridactylus (Linnaeus, 1758)",13271,1141,18,1937,2025,69,88,0.7752808988764045
2477872,"Dryocopus martius (Linnaeus, 1758)",102674,5781,23,1949,2025,71,76,0.922077922077922
2477927,"Dendrocopos leucotos (Bechstein, 1802)",1678,180,19,1968,2025,40,57,0.6896551724137931
2478026,"Dendrocopos medius (Linnaeus, 1758)",6858,425,13,1921,2025,38,104,0.3619047619047619
2478031,"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)",1654,231,11,1964,2025,42,61,0.6774193548387096
2478548,"Picus canus J.F.Gmelin, 1788",15636,1624,19,1952,2025,62,73,0.8378378378378378
2480193,"Pterocles orientalis (Linnaeus, 1758)",2598,63,2,1998,2025,26,27,0.9285714285714286
2480204,"Pterocles alchata (Linnaeus, 1766)",9356,51,3,1827,2025,63,198,0.3165829145728643
2480259,"Recurvirostra avosetta Linnaeus, 1758",211037,1132,25,1923,2025,91,102,0.883495145631068
2480281,"Charadrius morinellus Linnaeus, 1758",5828,332,10,1927,2025,71,98,0.7171717171717171
2480282,"Eudromias morinellus (Linnaeus, 1758)",4190,245,17,1957,2025,54,68,0.782608695652174
2480311,"Charadrius alexandrinus Linnaeus, 1758",41537,526,18,1934,2025,82,91,0.8913043478260869
2480332,"Pluvialis apricaria (Linnaeus, 1758)",151855,2142,24,1923,2025,83,102,0.8058252427184466
2480350,"Pelecanus onocrotalus Linnaeus, 1758",5018,216,15,1972,2025,40,53,0.7407407407407407
2480353,"Pelecanus crispus Bruch, 1832",6633,189,11,1971,2025,36,54,0.6545454545454545
2480372,"Elanus caeruleus (Desfontaines, 1789)",4154,269,14,1988,2025,27,37,0.7105263157894737
2480389,"Gyps fulvus (Hablizl, 1783)",59046,1267,14,1959,2025,47,66,0.7014925373134329
2480420,"Pernis apivorus (Linnaeus, 1758)",87121,3537,26,1891,2025,83,134,0.6148148148148148
2480449,"Haliaeetus albicilla (Linnaeus, 1758)",418249,3164,23,1825,2025,80,200,0.39800995024875624
2480482,"Circus aeruginosus (Linnaeus, 1758)",464976,4653,27,1881,2025,98,144,0.6758620689655173
2480487,"Circus cyaneus (Linnaeus, 1766)",163725,2978,26,1891,2025,84,134,0.6222222222222222
2480491,"Circus macrourus (S.G.Gmelin, 1770)",15769,616,22,1903,2025,52,122,0.42276422764227645
2480495,"Circus pygargus (Linnaeus, 1758)",43838,1429,24,1897,2025,74,128,0.5736434108527132
2480500,"Aquila heliaca Savigny, 1809",1782,154,17,1971,2025,40,54,0.7272727272727273
2480505,"Aquila pomarina C.L.Brehm, 1831",3442,87,11,1901,2025,57,124,0.456
2480506,"Aquila chrysaetos (Linnaeus, 1758)",41526,1986,19,1893,2025,84,132,0.631578947368421
2480509,"Aquila clanga Pallas, 1811",2361,86,6,1961,2025,52,64,0.8
2480510,"Aquila adalberti C.L.Brehm, 1861",4129,91,3,1978,2025,30,47,0.625
2480564,"Buteo rufinus (Cretzschmar, 1829)",4080,329,16,1989,2025,34,36,0.918918918918919
2480578,"Accipiter brevipes (Severtzov, 1850)",62,31,3,1901,2025,18,124,0.144
2480649,"Gypaetus barbatus (Linnaeus, 1758)",3883,280,8,1973,2025,37,52,0.6981132075471698
2480666,"Circaetus gallicus (Gmelin, 1788)",46056,1496,20,1823,2025,61,202,0.30049261083743845
2480685,"Hieraaetus pennatus (Gmelin, 1788)",21576,1050,15,1901,2025,52,124,0.416
2480690,"Hieraaetus fasciatus (Vieillot, 1822)",379,24,3,1999,2015,15,16,0.8823529411764706
2480696,"Neophron percnopterus (Linnaeus, 1758)",14351,423,12,1899,2025,72,126,0.5669291338582677
2480726,"Pandion haliaetus (Linnaeus, 1758)",173842,3213,27,1888,2025,82,137,0.5942028985507246
2480740,"Cursorius cursor (Latham, 1787)",968,24,4,2000,2025,22,25,0.8461538461538461
2480757,"Glareola pratincola (Linnaeus, 1766)",8649,272,15,1939,2025,67,86,0.7701149425287356
2480773,"Plegadis falcinellus (Linnaeus, 1766)",39119,875,22,1933,2025,63,92,0.6774193548387096
2480801,"Platalea leucorodia Linnaeus, 1758",89278,1343,24,1864,2025,70,161,0.43209876543209874
2480850,"Ixobrychus minutus (Linnaeus, 1766)",6767,365,18,1933,2025,72,92,0.7741935483870968
2480863,"Nycticorax nycticorax (Linnaeus, 1758)",30573,1140,24,1880,2025,78,145,0.5342465753424658
2480876,"Egretta garzetta (Linnaeus, 1766)",185157,2756,25,1857,2025,74,168,0.4378698224852071
2480906,"Ardeola ralloides (Scopoli, 1769)",23885,745,21,1900,2025,61,125,0.48412698412698413
2480910,"Botaurus stellaris (Linnaeus, 1758)",89098,1535,25,1892,2025,89,133,0.664179104477612
2480934,"Ardea purpurea Linnaeus, 1766",41839,1214,22,1932,2025,72,93,0.7659574468085106
2481034,"Falco cherrug J.E.Gray, 1834",643,86,12,1899,2025,39,126,0.30708661417322836
2481037,"Falco eleonorae Géné, 1839",4980,438,14,1911,2025,57,114,0.4956521739130435
2481047,"Falco peregrinus Tunstall, 1771",143837,2805,26,1891,2025,89,134,0.6592592592592592
2481062,"Falco vespertinus Linnaeus, 1766",20916,864,23,1900,2025,70,125,0.5555555555555556
2481119,"Chlidonias niger (Linnaeus, 1758)",88053,1408,24,1900,2025,85,125,0.6746031746031746
2481121,"Chlidonias hybrida (Pallas, 1811)",33110,679,24,1935,2025,66,90,0.7252747252747253
2481143,"Larus minutus Pallas, 1776",378,86,6,1957,2024,32,67,0.47058823529411764
2481178,"Larus genei Brème, 1839",1847,189,10,1972,2025,39,53,0.7222222222222222
2481193,"Larus audouinii Payraudeau, 1826",5098,246,8,1977,2025,46,48,0.9387755102040817
2481194,"Larus melanocephalus Temminck, 1820",5406,625,20,1962,2025,41,63,0.640625
2481236,"Hydroprogne caspia (Pallas, 1770)",112938,1143,23,1870,2025,81,155,0.5192307692307693
2481240,"Thalasseus sandvicensis (Latham, 1787)",135252,1450,24,1912,2025,78,113,0.6842105263157895
2481463,"Pterodroma madeira Mathews, 1934",236,7,2,2005,2025,17,20,0.8095238095238095
2481473,"Pterodroma feae (Salvadori, 1900)",14,6,2,2005,2023,6,18,0.3157894736842105
2481521,"Calonectris diomedea (Scopoli, 1769)",4872,315,11,1881,2025,54,144,0.3724137931034483
2481606,"Bulweria bulwerii (Jardine & Selby, 1828)",1576,32,3,1910,2025,25,115,0.21551724137931033
2481681,"Limosa lapponica (Linnaeus, 1758)",155048,1195,21,1927,2025,75,98,0.7575757575757576
2481703,"Xenus cinereus (Güldenstädt, 1775)",3600,174,21,1961,2025,52,64,0.8
2481713,"Tringa glareola Linnaeus, 1758",219342,2886,27,1885,2025,83,140,0.5886524822695035
2481831,"Gallinago media (Latham, 1787)",8273,366,16,1928,2025,76,97,0.7755102040816326
2481888,"Phalacrocorax pygmeus (Pallas, 1773)",865,48,3,2014,2025,6,11,0.5
2481909,"Ciconia nigra (Linnaeus, 1758)",29027,1669,24,1857,2025,73,168,0.4319526627218935
2481912,"Ciconia ciconia (Linnaeus, 1758)",128118,3228,25,1932,2025,72,93,0.7659574468085106
2481958,"Gavia stellata (Pontoppidan, 1763)",77305,1316,23,1841,2025,78,184,0.42162162162162165
2481959,"Gavia arctica (Linnaeus, 1758)",99580,1839,23,1866,2025,82,159,0.5125
2481962,"Gavia immer (Brunnich, 1764)",5866,512,16,1879,2025,58,146,0.3945578231292517
2481991,"Pelagodroma marina (Latham, 1790)",124,13,2,2002,2024,11,22,0.4782608695652174
2482001,"Oceanodroma castro (Harcourt, 1851)",55,8,1,1990,2006,6,16,0.35294117647058826
2482012,"Oceanodroma leucorhoa (Vieillot, 1818)",930,46,4,1960,2025,50,65,0.7575757575757576
2482059,"Podiceps auritus (Linnaeus, 1758)",57980,1128,23,1847,2025,87,178,0.4860335195530726
2482100,"Burhinus oedicnemus (Linnaeus, 1758)",28550,659,15,1935,2025,64,90,0.7032967032967034
2482552,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",20096,698,7,1969,2025,51,56,0.8947368421052632
2484880,"Sitta krueperi Pelzeln, 1863",577,7,1,1999,2025,27,26,1.0
2484886,"Sitta whiteheadi Sharpe, 1884",591,12,1,1993,2025,24,32,0.7272727272727273
2490274,"Anthus campestris (Linnaeus, 1758)",30517,965,21,1918,2025,73,107,0.6759259259259259
2490604,"Lullula arborea (Linnaeus, 1758)",94995,2971,25,1914,2025,77,111,0.6875
