MS,n_occurrences,n_sites,n_species,year_min,year_max,n_years
AT,105073,298,1079,1804,2025,190
BE,247212,303,515,1862,2025,111
BG,18203,211,479,1923,2025,53
CY,1977,53,101,1993,2025,27
CZ,20764,621,490,1853,2025,131
DE,298166,3791,888,1847,2025,121
DK,579074,332,443,1858,2025,94
EE,5284,267,263,1905,2025,62
ES,315148,1528,2124,1837,2025,134
FI,72609,1283,387,1857,2025,151
FR,1884867,1678,1709,1697,2025,201
GR,23460,385,697,1841,2025,66
HR,24958,311,524,1853,2025,67
HU,13208,296,377,1872,2025,53
IE,44679,487,217,1737,2025,110
IT,70135,1945,1042,1807,2025,129
LT,8566,393,172,1976,2025,46
LU,6765,63,192,1953,2025,35
LV,730,69,128,1910,2025,21
MT,959,37,50,1997,2025,23
NL,121433,197,385,1886,2025,134
PL,51634,645,468,1835,2025,90
PT,150933,157,756,1782,2025,103
RO,12173,319,496,1825,2025,81
SE,416267,3606,632,1767,2025,207
SI,17368,162,452,1808,2025,97
SK,8420,333,455,1879,2025,79
