SITECODE,site_name,ms,site_type,n_occurrences,n_species,year_min,year_max,n_years
AT1101112,Nickelsdorfer Haidel,AT,B,11,3,1982,2025,8
AT1102112,Zurndorfer Eichenwald und Hutweide,AT,B,17,14,1986,2022,8
AT1104212,Fronwiesen und Johannesbach,AT,B,8,6,1987,2024,4
AT1106218,Siegendorfer Pußta und Heide,AT,B,74,28,1964,2025,14
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,530,107,1888,2025,50
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,6244,277,1865,2025,89
AT1114813,Südburgenländisches Hügel- und Terrassenland,AT,B,123,48,1957,2025,21
AT1115415,"Naturwaldreservat Lange Leitn, Neckenmarkt",AT,B,7,4,2025,2025,1
AT1119622,Auwiesen Zickenbachtal,AT,A,7,5,2019,2024,4
AT1122916,Lafnitztal,AT,B,29,13,2013,2025,7
AT1123323,Mattersburger Hügelland,AT,C,84,46,1939,2025,17
AT1125129,Parndorfer Platte - Heideboden,AT,A,88,41,1982,2025,21
AT1126129,Waasen - Hanság,AT,A,174,43,1969,2025,19
AT1127119,Burgenländische Leithaauen,AT,B,6,4,2020,2025,4
AT1201000,Waldviertel,AT,A,409,103,1855,2025,33
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,296,87,1855,2025,32
AT1202000,March-Thaya-Auen,AT,B,777,146,1867,2025,58
AT1202V00,March-Thaya-Auen,AT,A,963,152,1867,2025,60
AT1203000,Ötscher - Dürrenstein,AT,A,1132,153,1860,2025,73
AT1203A00,Ötscher - Dürrenstein,AT,B,1071,159,1860,2025,84
AT1204000,Donau-Auen östlich von Wien,AT,B,906,129,1840,2025,53
AT1204V00,Donau-Auen östlich von Wien,AT,A,710,107,1840,2025,36
AT1205000,Wachau - Jauerling,AT,A,2302,179,1860,2025,103
AT1205A00,Wachau,AT,B,1977,167,1886,2025,99
AT1206A00,Weinviertler Klippenzone,AT,B,245,73,1846,2025,22
AT1207000,Kamp- und Kremstal,AT,A,893,126,1877,2025,50
AT1207A00,Kamp- und Kremstal,AT,B,557,100,1877,2025,30
AT1208A00,Thayatal bei Hardegg,AT,B,761,105,1911,2025,40
AT1209000,Westliches Weinviertel,AT,A,564,98,1933,2025,23
AT1209A00,Westliches Weinviertel,AT,B,357,76,1927,2025,25
AT1210000,Steinfeld,AT,A,177,83,1865,2025,27
AT1210A00,Steinfeld,AT,B,79,51,1965,2025,16
AT1211000,Wienerwald - Thermenregion,AT,A,7215,333,1835,2025,150
AT1211A00,Wienerwald - Thermenregion,AT,B,6789,322,1835,2025,145
AT1212000,Nordöstliche Randalpen,AT,A,387,72,1903,2025,48
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,2887,276,1846,2025,139
AT1213000,Pannonische Sanddünen,AT,B,143,47,1882,2025,27
AT1213V00,Sandboden und Praterterrasse,AT,A,191,66,1882,2025,30
AT1214000,Hundsheimer Berge,AT,B,733,103,1864,2025,68
AT1215000,Bisamberg,AT,B,143,41,1868,2025,21
AT1216000,Tullnerfelder Donau-Auen,AT,B,595,103,1906,2025,28
AT1216V00,Tullnerfelder Donau-Auen,AT,A,601,104,1906,2025,28
