SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT1101112,Nickelsdorfer Haidel,AT,B,1982,2025,8,11,44,36,0.8181818181818182
AT1102112,Zurndorfer Eichenwald und Hutweide,AT,B,1986,2022,8,17,37,29,0.7837837837837838
AT1104212,Fronwiesen und Johannesbach,AT,B,1987,2024,4,8,38,34,0.8947368421052632
AT1106218,Siegendorfer Pußta und Heide,AT,B,1964,2025,14,74,62,48,0.7741935483870968
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,1888,2025,50,530,138,88,0.6376811594202898
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,1865,2025,89,6244,161,72,0.4472049689440994
AT1114813,Südburgenländisches Hügel- und Terrassenland,AT,B,1957,2025,21,123,69,48,0.6956521739130435
AT1115415,"Naturwaldreservat Lange Leitn, Neckenmarkt",AT,B,2025,2025,1,7,1,0,0.0
AT1119622,Auwiesen Zickenbachtal,AT,A,2019,2024,4,7,6,2,0.3333333333333333
AT1122916,Lafnitztal,AT,B,2013,2025,7,29,13,6,0.46153846153846156
AT1123323,Mattersburger Hügelland,AT,C,1939,2025,17,84,87,70,0.8045977011494253
AT1125129,Parndorfer Platte - Heideboden,AT,A,1982,2025,21,88,44,23,0.5227272727272727
AT1126129,Waasen - Hanság,AT,A,1969,2025,19,174,57,38,0.6666666666666666
AT1127119,Burgenländische Leithaauen,AT,B,2020,2025,4,6,6,2,0.3333333333333333
AT1201000,Waldviertel,AT,A,1855,2025,33,409,171,138,0.8070175438596491
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,1855,2025,32,296,171,139,0.8128654970760234
AT1202000,March-Thaya-Auen,AT,B,1867,2025,58,777,159,101,0.6352201257861635
AT1202V00,March-Thaya-Auen,AT,A,1867,2025,60,963,159,99,0.6226415094339622
AT1203000,Ötscher - Dürrenstein,AT,A,1860,2025,73,1132,166,93,0.5602409638554217
AT1203A00,Ötscher - Dürrenstein,AT,B,1860,2025,84,1071,166,82,0.4939759036144578
AT1204000,Donau-Auen östlich von Wien,AT,B,1840,2025,53,906,186,133,0.7150537634408602
AT1204V00,Donau-Auen östlich von Wien,AT,A,1840,2025,36,710,186,150,0.8064516129032258
AT1205000,Wachau - Jauerling,AT,A,1860,2025,103,2302,166,63,0.3795180722891566
AT1205A00,Wachau,AT,B,1886,2025,99,1977,140,41,0.29285714285714287
AT1206A00,Weinviertler Klippenzone,AT,B,1846,2025,22,245,180,158,0.8777777777777778
AT1207000,Kamp- und Kremstal,AT,A,1877,2025,50,893,149,99,0.6644295302013423
AT1207A00,Kamp- und Kremstal,AT,B,1877,2025,30,557,149,119,0.7986577181208053
AT1208A00,Thayatal bei Hardegg,AT,B,1911,2025,40,761,115,75,0.6521739130434783
AT1209000,Westliches Weinviertel,AT,A,1933,2025,23,564,93,70,0.7526881720430108
AT1209A00,Westliches Weinviertel,AT,B,1927,2025,25,357,99,74,0.7474747474747475
AT1210000,Steinfeld,AT,A,1865,2025,27,177,161,134,0.8322981366459627
AT1210A00,Steinfeld,AT,B,1965,2025,16,79,61,45,0.7377049180327869
AT1211000,Wienerwald - Thermenregion,AT,A,1835,2025,150,7215,191,41,0.21465968586387435
AT1211A00,Wienerwald - Thermenregion,AT,B,1835,2025,145,6789,191,46,0.24083769633507854
AT1212000,Nordöstliche Randalpen,AT,A,1903,2025,48,387,123,75,0.6097560975609756
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,1846,2025,139,2887,180,41,0.22777777777777777
AT1213000,Pannonische Sanddünen,AT,B,1882,2025,27,143,144,117,0.8125
AT1213V00,Sandboden und Praterterrasse,AT,A,1882,2025,30,191,144,114,0.7916666666666666
AT1214000,Hundsheimer Berge,AT,B,1864,2025,68,733,162,94,0.5802469135802469
AT1215000,Bisamberg,AT,B,1868,2025,21,143,158,137,0.8670886075949367
AT1216000,Tullnerfelder Donau-Auen,AT,B,1906,2025,28,595,120,92,0.7666666666666667
AT1216V00,Tullnerfelder Donau-Auen,AT,A,1906,2025,28,601,120,92,0.7666666666666667
AT1217A00,Strudengau - Nibelungengau,AT,B,1848,2025,27,188,178,151,0.848314606741573
AT1218000,Machland Süd,AT,B,1978,2025,13,76,48,35,0.7291666666666666
AT1218V00,Machland Süd,AT,A,1978,2024,10,41,47,37,0.7872340425531915
AT1219000,Niederösterreichische Alpenvorlandflüsse,AT,B,1928,2025,26,730,98,72,0.7346938775510204
AT1219V00,Pielachtal,AT,A,2009,2025,9,136,17,8,0.47058823529411764
AT1220000,Feuchte Ebene - Leithaauen,AT,B,1866,2025,35,600,160,125,0.78125
AT1220V00,Feuchte Ebene - Leithaauen,AT,A,1866,2025,63,488,160,97,0.60625
AT1221V00,Truppenübungsplatz Allentsteig,AT,A,2015,2025,4,24,11,7,0.6363636363636364
AT1301000,Nationalpark Donau-Auen (Wiener Teil),AT,C,1910,2025,49,1002,116,67,0.5775862068965517
AT1302000,Naturschutzgebiet Lainzer Tiergarten,AT,C,1913,2025,35,906,113,78,0.6902654867256637
AT1303000,"Landschaftsschutzgebiet Liesing (Teil A, B und C)",AT,C,1835,2025,35,757,191,156,0.8167539267015707
AT1304000,Bisamberg (Wiener Teil),AT,C,1890,2025,19,243,136,117,0.8602941176470589
AT1305000,Leopoldsberg,AT,B,2021,2025,2,4,5,3,0.6
AT2101000,"Hohe Tauern, Kärnten I",AT,B,1804,2025,117,4125,222,105,0.47297297297297297
AT2102000,Nockberge,AT,B,1845,2025,29,424,181,152,0.8397790055248618
AT2103000,Hörfeld Moor - Kärntner Anteil,AT,C,1976,2025,6,14,50,44,0.88
AT2104000,Sablatnig Moor,AT,C,2008,2015,5,6,8,3,0.375
AT2105000,Vellacher Kotschna,AT,B,1901,2025,11,36,125,114,0.912
AT2106000,Mussen,AT,B,1943,2025,12,48,83,71,0.8554216867469879
AT2107000,Stappitzer See und Umgebung,AT,A,1904,2024,14,99,121,107,0.8842975206611571
AT2108000,Inneres Pöllatal,AT,B,1850,2025,13,56,176,163,0.9261363636363636
AT2109000,Wolayersee und Umgebung,AT,B,1874,2025,34,111,152,118,0.7763157894736842
AT2111000,Völkermarkter Stausee,AT,C,2023,2023,1,2,1,0,0.0
AT2112000,Villacher Alpe (Dobratsch),AT,C,1928,2025,17,258,98,81,0.826530612244898
AT2114000,Obere Drau,AT,C,1992,2025,9,42,34,25,0.7352941176470589
AT2115000,Hochmoor bei St. Lorenzen,AT,B,2022,2024,2,7,3,1,0.3333333333333333
AT2116000,Görtschacher Moos - Obermoos im Gailtal,AT,C,2005,2025,6,16,21,15,0.7142857142857143
AT2118000,Gail im Lesachtal,AT,B,2024,2024,1,2,1,0,0.0
AT2120000,Schütt - Graschelitzen,AT,C,1926,2025,28,617,100,72,0.72
AT2121000,Höfleinmoor,AT,B,2023,2025,2,6,3,1,0.3333333333333333
AT2123000,Möserner Moor,AT,B,2020,2021,2,3,2,0,0.0
AT2124000,Untere Lavant,AT,C,2020,2025,5,11,6,1,0.16666666666666666
AT2125000,Reifnitzbach,AT,B,1954,2023,2,2,70,68,0.9714285714285714
AT2126000,Tiebelmündung - Bleistätter Moor,AT,C,1898,2025,9,49,128,119,0.9296875
AT2127000,Fronwiesen,AT,B,2021,2024,3,9,4,1,0.25
AT2129000,"Hohe Tauern, Kärnten II",AT,A,1804,2025,117,4125,222,105,0.47297297297297297
AT2130000,Lendspitz-Maiernigg,AT,C,2006,2025,6,62,20,14,0.7
AT2131000,Mannsberg-Boden,AT,B,1980,1980,1,1,1,0,0.0
AT2133000,Guntschacher Au,AT,C,2015,2019,3,21,5,2,0.4
AT2134000,Mittagskogel - Karawanken Westteil,AT,B,1938,2025,15,56,88,73,0.8295454545454546
AT2136000,Gelbe Alpenrose in Lendorf,AT,B,2022,2024,2,3,3,1,0.3333333333333333
AT2137000,Schlossberg Griffen,AT,B,2003,2025,9,29,23,14,0.6086956521739131
AT2139000,Grünspitz-Streifenfarn in Radenthein,AT,B,2018,2018,1,3,1,0,0.0
AT2140000,Millstätter See-Süd,AT,B,2023,2025,2,4,3,1,0.3333333333333333
AT2142000,Ziegelteich bei Hörtendorf,AT,B,2022,2022,1,1,1,0,0.0
AT2144000,Gutschen,AT,B,2022,2022,1,2,1,0,0.0
AT2145000,Motschulagraben,AT,B,2025,2025,1,4,1,0,0.0
AT2146000,Penkensee,AT,B,2020,2024,2,2,5,3,0.6
AT2148000,Krampelgraben bei Höhenbergen,AT,B,2014,2022,2,4,9,7,0.7777777777777778
AT2149000,Schlosspark Krastowitz,AT,B,2021,2021,1,1,1,0,0.0
AT2150000,Leonstein,AT,B,2007,2025,6,17,19,13,0.6842105263157895
AT2151000,Finkensteiner Moor,AT,B,2023,2025,2,3,3,1,0.3333333333333333
AT2153000,Ebenthaler Schlucht,AT,B,2021,2025,4,14,5,1,0.2
AT2154000,Kosiak,AT,B,2022,2025,3,7,4,1,0.25
AT2155000,Tiffen,AT,B,2020,2025,3,3,6,3,0.5
AT2158000,Ossiacher Tauern,AT,B,2017,2025,8,75,9,1,0.1111111111111111
AT2159000,Garnitzenklamm,AT,B,1893,2025,12,80,133,121,0.9097744360902256
AT2160000,Sattnitz-Ost,AT,B,2005,2025,6,24,21,15,0.7142857142857143
AT2161000,Kronhofgraben,AT,B,2016,2024,3,5,9,6,0.6666666666666666
AT2162000,Trögerner Klamm,AT,B,1994,2023,9,27,30,21,0.7
AT2163000,In der Laka,AT,B,2013,2013,1,2,1,0,0.0
AT2164000,Rosegger Drauschleife und Umgebung,AT,B,2018,2025,6,8,8,2,0.25
AT2165000,Koschuta,AT,B,1935,2025,10,26,91,81,0.8901098901098901
AT2166000,Kokra,AT,B,2024,2024,1,3,1,0,0.0
AT2167000,Tscheppaschlucht - Ferlacher Horn,AT,B,1853,2025,10,51,173,163,0.9421965317919075
AT2168000,Kirchbachgraben,AT,B,2024,2024,1,1,1,0,0.0
AT2169000,Kleinobir,AT,B,2005,2025,9,24,21,12,0.5714285714285714
AT2172000,Moore am Ossiacher Tauern,AT,B,2025,2025,1,2,1,0,0.0
AT2173000,Althofener Moor,AT,B,2023,2023,1,7,1,0,0.0
AT2204000,Steirisches Dachsteinplateau,AT,B,1947,2025,10,23,79,69,0.8734177215189873
AT2205000,Pürgschachen-Moos und ennsnahe Bereiche zwischen Selzthal und dem Gesäuseeingang,AT,C,1992,2025,12,34,34,22,0.6470588235294118
AT2206000,Ödensee,AT,B,1886,2025,20,170,140,120,0.8571428571428571
AT2207000,"Hörfeld, Steiermark",AT,C,2017,2025,7,48,9,2,0.2222222222222222
AT2208000,Lafnitztal - Neudauer Teiche,AT,C,1936,2025,18,122,90,72,0.8
AT2209000,Niedere Tauern,AT,A,1821,2025,105,1295,205,100,0.4878048780487805
