taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
2410,Ranunculaceae,288,159,16,1990,2025,27,35,0.75
3112,Brassicaceae,1103,338,21,1957,2025,28,68,0.4057971014492754
1036775,"Carabus Linnaeus, 1758",370,226,21,1887,2025,17,138,0.1223021582733813
1036779,"Carabus auratus Linnaeus, 1760",1473,463,8,1921,2025,31,104,0.29523809523809524
1036789,"Carabus granulatus Linnaeus, 1758",3787,1003,21,1937,2025,58,88,0.651685393258427
1079588,"Osmoderma eremita (Scopoli, 1763)",2590,254,8,1948,2025,54,77,0.6923076923076923
1085533,"Bolbelasmus unicornis (Schrank, 1789)",6,4,3,2011,2023,3,12,0.23076923076923078
1405466,"Apteromantis aptera Fuente, 1894",57,28,2,2011,2025,11,14,0.7333333333333333
1421199,"Cordulegaster heros Theischinger, 1979",127,43,9,2008,2025,17,17,0.9444444444444444
1421207,"Cordulegaster trinacriae Waterston, 1976",9,6,1,2012,2019,3,7,0.375
1421988,"Coenagrion hylas (Trybom, 1889)",32,2,1,2016,2025,9,9,0.9
1422002,"Coenagrion ornatum (Selys, 1850)",208,55,10,1985,2025,20,40,0.4878048780487805
1422012,"Coenagrion mercuriale (Charpentier, 1840)",4028,382,8,1950,2025,44,75,0.5789473684210527
1424202,"Sympecma paedisca (Brauer, 1877)",1217,223,10,1975,2025,28,50,0.5490196078431373
1425187,"Aeshna viridis Eversmann, 1836",839,160,8,1935,2025,49,90,0.5384615384615384
1426058,"Ophiogomphus cecilia (Fourcroy, 1785)",3320,405,19,1983,2025,31,42,0.7209302325581395
1426062,"Ophiogomphus serpentinus (Charpentier, 1825)",12,2,1,2013,2013,1,0,1.0
1429178,"Leucorrhinia caudalis (Charpentier, 1840)",3331,388,14,1980,2025,37,45,0.8043478260869565
1429194,"Leucorrhinia pectoralis (Charpentier, 1825)",5538,864,18,1951,2025,43,74,0.5733333333333334
1429199,"Leucorrhinia albifrons (Burmeister, 1839)",1574,360,12,1859,2025,44,166,0.2634730538922156
1429876,"Macromia splendens (Pictet, 1843)",279,41,3,1988,2025,23,37,0.6052631578947368
1683952,"Saga pedo (Pallas, 1771)",828,163,9,1928,2025,40,97,0.40816326530612246
1684312,"Isophya stysi Cejchan, 1957",18,6,2,2013,2024,4,11,0.3333333333333333
1684370,"Isophya harzi Kis, 1960",10,2,1,2013,2013,1,0,1.0
1684375,"Isophya costata Brunner von Wattenwyl, 1878",44,10,4,1940,2025,12,85,0.13953488372093023
1692648,"Baetica ustulata (Rambur, 1838)",35,1,1,2011,2025,11,14,0.7333333333333333
1695277,"Pholidoptera transsylvanica (Fischer, 1853)",67,29,3,2007,2025,11,18,0.5789473684210527
1702607,"Paracaloptenus caloptenoides (Brunner von Wattenwyl, 1861)",56,20,5,1883,2025,13,142,0.09090909090909091
1710932,"Stenobothrus eurasius Zubovski, 1898",30,4,2,2010,2023,6,13,0.42857142857142855
1716482,"Brachytrupes megacephalus (Lefebvre, 1827)",10,8,1,2008,2024,6,16,0.35294117647058826
1772458,"Xylomoia strix Mikkola, 1980",67,21,3,2004,2022,9,18,0.47368421052631576
1777695,"Arytrura musculus Ménétriés, 1859",6,5,2,2022,2024,2,2,0.6666666666666666
1862774,"Hyles hippophaes Esper, 1789",44,16,3,1896,2025,16,129,0.12307692307692308
1864161,"Proserpinus proserpina Pallas, 1772",342,197,15,1901,2025,46,124,0.368
1911093,"Coenonympha oedippus Fabricius, 1787",174,31,2,1881,2025,54,144,0.3724137931034483
1911168,"Coenonympha hero (Linnaeus, 1761)",997,125,9,1867,2025,46,158,0.2893081761006289
1911812,"Fabriciana elisa (Godart, 1823)",149,11,2,1971,2025,18,54,0.32727272727272727
1913456,"Erebia Dalman, 1816",518,176,11,1955,2025,22,70,0.30985915492957744
1916347,"Melanargia arge Sulzer, 1776",137,42,2,2006,2025,19,19,0.95
1922311,"Maculinea arion (Linnaeus, 1758)",5013,228,9,1876,2025,101,149,0.6733333333333333
1922343,"Maculinea nausithous (Bergstrasser, 1779)",65,17,3,1904,2014,30,110,0.2702702702702703
1922349,"Maculinea euphemus (Hübner, 1800)",2,2,2,1930,1957,2,27,0.07142857142857142
1922406,"Maculinea teleius (Bergstrasser, 1779)",63,21,3,1907,2018,28,111,0.25
1925962,"Helleia helle (Denis & Schiffermüller) , 1776",569,85,8,1925,2025,25,100,0.24752475247524752
1926054,"Agriades glandon (von Prunner, 1798)",1670,101,5,1851,2025,93,174,0.5314285714285715
