MS,n_occurrences,n_sites,n_species,year_min,year_max,n_years
AT,4095,141,28,1936,2025,42
BE,249041,294,57,1905,2025,66
BG,168,56,14,2005,2025,11
CY,37,16,4,2012,2025,8
CZ,1232,166,17,2006,2025,20
DE,90104,2182,43,1967,2025,52
DK,7071,228,19,1980,2025,43
EE,167,45,6,1985,2025,18
ES,13921,588,47,1984,2025,42
FI,337,112,8,1971,2025,30
FR,180546,978,57,1862,2025,64
GR,537,90,18,1982,2025,20
HR,719,102,24,2004,2025,17
HU,607,136,26,2003,2025,19
IE,2253,111,17,1984,2025,37
IT,8164,682,44,1985,2025,27
LT,149,47,8,2011,2025,10
LU,2024,43,18,2003,2025,22
LV,76,19,7,2015,2025,9
MT,38,12,4,2018,2025,7
NL,99661,165,32,1937,2025,55
PL,1025,212,24,1996,2025,24
PT,5580,100,37,1997,2025,24
RO,285,59,18,2008,2025,16
SE,9291,495,22,1942,2025,50
SI,306,53,11,2011,2025,13
SK,439,57,16,2002,2025,14
