SITECODE,site_name,ms,site_type,n_occurrences,n_species,year_min,year_max,n_years
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,27,5,2019,2025,7
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,140,9,2001,2025,13
AT1119622,Auwiesen Zickenbachtal,AT,A,1,1,2023,2023,1
AT1122916,Lafnitztal,AT,B,7,1,2013,2022,4
AT1123323,Mattersburger Hügelland,AT,C,2,2,2020,2025,2
AT1125129,Parndorfer Platte - Heideboden,AT,A,6,2,2021,2025,4
AT1126129,Waasen - Hanság,AT,A,25,7,2012,2025,7
AT1127119,Burgenländische Leithaauen,AT,B,2,2,2023,2023,1
AT1201000,Waldviertel,AT,A,44,4,2019,2025,7
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,55,4,2018,2025,8
AT1202000,March-Thaya-Auen,AT,B,37,8,1998,2025,11
AT1202V00,March-Thaya-Auen,AT,A,38,9,1998,2025,10
AT1203000,Ötscher - Dürrenstein,AT,A,25,3,1978,2025,7
AT1203A00,Ötscher - Dürrenstein,AT,B,27,3,1978,2025,9
AT1204000,Donau-Auen östlich von Wien,AT,B,111,7,1998,2025,14
AT1204V00,Donau-Auen östlich von Wien,AT,A,110,8,1998,2025,14
AT1205000,Wachau - Jauerling,AT,A,74,7,2016,2025,8
AT1205A00,Wachau,AT,B,46,5,2016,2025,8
AT1206A00,Weinviertler Klippenzone,AT,B,1,1,2014,2014,1
AT1207000,Kamp- und Kremstal,AT,A,39,5,2006,2025,9
AT1207A00,Kamp- und Kremstal,AT,B,44,4,1995,2025,11
AT1209000,Westliches Weinviertel,AT,A,13,3,2021,2025,5
AT1209A00,Westliches Weinviertel,AT,B,6,4,2021,2024,4
AT1210000,Steinfeld,AT,A,10,3,2020,2022,3
AT1210A00,Steinfeld,AT,B,3,2,2021,2024,3
AT1211000,Wienerwald - Thermenregion,AT,A,310,6,1985,2025,14
AT1211A00,Wienerwald - Thermenregion,AT,B,270,5,1985,2025,13
AT1212000,Nordöstliche Randalpen,AT,A,6,2,2020,2023,3
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,97,6,1998,2025,10
AT1213000,Pannonische Sanddünen,AT,B,13,2,2011,2025,6
AT1213V00,Sandboden und Praterterrasse,AT,A,20,2,2011,2025,6
AT1214000,Hundsheimer Berge,AT,B,4,1,2022,2025,2
AT1216000,Tullnerfelder Donau-Auen,AT,B,99,10,1960,2025,12
AT1216V00,Tullnerfelder Donau-Auen,AT,A,99,10,1960,2025,12
AT1217A00,Strudengau - Nibelungengau,AT,B,13,3,2020,2024,5
AT1218000,Machland Süd,AT,B,6,1,2003,2025,5
AT1218V00,Machland Süd,AT,A,2,1,2020,2021,2
AT1219000,Niederösterreichische Alpenvorlandflüsse,AT,B,99,8,2012,2025,10
AT1219V00,Pielachtal,AT,A,12,3,2019,2025,6
AT1220000,Feuchte Ebene - Leithaauen,AT,B,62,8,2009,2025,10
AT1220V00,Feuchte Ebene - Leithaauen,AT,A,29,8,2009,2025,9
AT1301000,Nationalpark Donau-Auen (Wiener Teil),AT,C,129,9,2009,2025,11
AT1302000,Naturschutzgebiet Lainzer Tiergarten,AT,C,14,2,2018,2023,5
AT1303000,"Landschaftsschutzgebiet Liesing (Teil A, B und C)",AT,C,12,3,2005,2024,6
AT1304000,Bisamberg (Wiener Teil),AT,C,6,2,2020,2025,5
AT1305000,Leopoldsberg,AT,B,2,1,2021,2021,1
AT2102000,Nockberge,AT,B,1,1,2025,2025,1
AT2114000,Obere Drau,AT,C,19,1,2019,2025,6
AT2116000,Görtschacher Moos - Obermoos im Gailtal,AT,C,2,1,2021,2024,2
AT2117000,Turner See,AT,C,2,1,2023,2023,1
AT2120000,Schütt - Graschelitzen,AT,C,9,4,2020,2024,3
AT2124000,Untere Lavant,AT,C,5,1,2019,2025,4
AT2126000,Tiebelmündung - Bleistätter Moor,AT,C,28,2,2017,2025,6
AT2130000,Lendspitz-Maiernigg,AT,C,12,3,2019,2025,5
AT2138000,Gurkmündung,AT,B,1,1,2020,2020,1
AT2140000,Millstätter See-Süd,AT,B,1,1,2022,2022,1
AT2148000,Krampelgraben bei Höhenbergen,AT,B,1,1,2014,2014,1
AT2158000,Ossiacher Tauern,AT,B,21,1,2018,2024,5
AT2164000,Rosegger Drauschleife und Umgebung,AT,B,8,3,2016,2022,3
AT2169000,Kleinobir,AT,B,1,1,2013,2013,1
AT2205000,Pürgschachen-Moos und ennsnahe Bereiche zwischen Selzthal und dem Gesäuseeingang,AT,C,15,1,2013,2025,8
AT2208000,Lafnitztal - Neudauer Teiche,AT,C,12,3,2019,2025,6
AT2209000,Niedere Tauern,AT,A,2,1,2020,2022,2
AT2210000,Ennstaler Alpen/Gesäuse,AT,C,3,1,2022,2025,2
AT2211000,Hartberger-Gmoos,AT,C,4,1,2018,2025,3
AT2212000,Wörschacher Moos und ennsnahe Bereiche,AT,C,2,2,2021,2025,2
AT2213000,Steirische Grenzmur mit Gamlitzbach und Gnasbach,AT,C,49,5,1991,2025,9
AT2214000,Deutschlandsberger Klause,AT,B,1,1,2022,2022,1
AT2218000,Feistritzklamm/Herberstein,AT,C,5,1,2019,2023,4
AT2225000,"Demmerkogel-Südhänge, Wellinggraben mit Sulm-, Saggau- und Laßnitzabschnitten und Pößnitzbach",AT,C,12,4,2016,2025,8
AT2229000,Teile des Steirischen Jogl- und Wechsellandes,AT,A,17,2,2019,2025,6
AT2229002,Ennstal zwischen Liezen und Niederstuttern,AT,A,9,1,2018,2025,5
AT2230000,Teile des südoststeirischen Hügellandes inklusive Höll und Grabenlandbäche,AT,C,11,5,2013,2025,8
AT2233000,Raabklamm,AT,C,1,1,2022,2022,1
AT2236000,"Ober- und Mittellauf der Mur mit Puxer Auwald, Puxer Wand und Gulsen",AT,B,15,2,2020,2025,5
AT2240000,Ennsaltarme bei Niederstuttern,AT,B,3,1,2018,2025,3
AT2241000,Südlich gelegene Talbereiche der Göstlinger Alpen,AT,B,1,1,2023,2023,1
AT2243000,Totes Gebirge mit Altausseer See,AT,C,6,1,2013,2024,4
AT2244000,Flaumeichenwälder im Grazer Bergland,AT,B,1,1,2025,2025,1
AT2245000,Schloss Eggenberg,AT,B,1,1,2023,2023,1
AT2246000,Wildoner Buchkogel,AT,B,3,2,2008,2015,3
AT2247000,Wundschuh-Neuteich,AT,B,4,2,2020,2021,2
AT2248000,Südsteirische Teichlandschaft,AT,B,1,1,2025,2025,1
AT3101000,Dachstein,AT,C,1,1,2021,2021,1
AT3103000,Pfeifer Anger,AT,A,8,3,2019,2024,5
AT3105000,Unterer Inn,AT,C,331,7,1936,2024,25
AT3108000,Tal der Kleinen Gusen,AT,B,1,1,2023,2023,1
AT3109000,Heißländen und Auwälder an der Traun,AT,B,1,1,2025,2025,1
AT3110000,Ettenau,AT,C,15,4,2003,2024,8
AT3111000,Nationalpark Kalkalpen und Umgebung,AT,C,7,1,2021,2023,3
AT3113000,Untere Traun,AT,A,42,7,1980,2025,14
AT3114000,Traun-Donau-Auen,AT,C,11,5,1997,2025,7
AT3115000,Maltsch,AT,C,3,3,1984,2011,3
AT3117000,Mond- und Attersee,AT,B,37,6,1981,2025,14
AT3118000,Salzachauen,AT,B,9,2,2003,2023,5
AT3119000,Auwälder am Unteren Inn,AT,B,26,7,1999,2024,14
AT3120000,Waldaist und Naarn,AT,B,8,4,1986,2024,8
AT3121000,Böhmerwald und Mühltäler,AT,B,17,4,1990,2025,9
AT3122000,Oberes Donau- und Aschachtal,AT,B,73,8,2000,2025,18
AT3123000,Wiesengebiete und Seen im Alpenvorland,AT,B,14,5,2015,2025,8
AT3124000,Wiesengebiete im Freiwald,AT,A,1,1,2012,2012,1
AT3125000,Rannatal,AT,B,5,1,2020,2024,4
AT3126000,Welser Heide,AT,A,3,1,2018,2019,2
AT3127000,Eferdinger Becken,AT,B,9,4,1999,2024,5
AT3129000,Wiesengebiete im Mühlviertel,AT,B,1,1,2012,2012,1
AT3131000,Leitenbach,AT,B,2,2,2016,2021,2
AT3132000,Machland Nord,AT,B,13,5,2000,2025,8
AT3136000,Mittlere Steyr,AT,B,1,1,2019,2019,1
AT3137000,Unteres Steyr- und Ennstal,AT,B,24,2,1998,2025,7
AT3139000,Unteres Traun- und Almtal,AT,B,31,6,1980,2025,13
AT3142000,Egelsee und Egelseemoor in Unterach,AT,B,1,1,2013,2013,1
AT3201014,Wallersee-Wengermoor,AT,C,23,4,2007,2025,8
AT3205021,Obertauern-Hundsfeldmoor,AT,C,9,1,2008,2011,3
AT3209022,"Salzachauen, Salzburg",AT,A,255,9,2008,2025,12
AT3210001,"Hohe Tauern, Salzburg",AT,C,4,2,2017,2025,3
AT3211012,"Kalkhochalpen, Salzburg",AT,B,1,1,,,0
AT3212111,Tauglgries,AT,B,7,1,2015,2024,4
AT3223000,"Salzachauen, Salzburg",AT,B,196,8,2012,2025,10
AT3225000,Weidmoos,AT,A,204,3,2002,2025,14
AT3227000,Untersberg-Vorland,AT,B,5,1,2020,2023,3
AT3228000,Bürmooser Moor,AT,C,5,2,2011,2021,3
AT3230000,Zeller See Südufer,AT,B,7,3,1980,2025,5
AT3232000,Kopfweiden am Almkanal,AT,B,3,1,2021,2022,2
AT3247000,Fraham-Aag-Zellhof,AT,B,2,1,2022,2022,1
AT3248000,Prähauserbauerwiese,AT,B,1,1,2015,2015,1
AT3304000,Karwendel,AT,C,18,3,2010,2025,9
AT3308000,Schwemm,AT,B,4,2,2009,2010,2
AT3309000,Tiroler Lech,AT,C,20,3,2010,2025,9
AT3310000,Arzler Pitzeklamm,AT,B,7,1,2018,2023,4
AT3313000,Fließer Sonnenhänge,AT,B,5,1,2021,2024,2
AT3314000,"Osttiroler Gletscherflüsse Isel, Schwarzach und Kalserbach",AT,B,5,2,2022,2024,2
AT3402000,Rheindelta,AT,C,96,10,1998,2025,14
AT3403000,Mehrerauer Seeufer - Bregenzerachmündung,AT,B,8,4,2021,2024,3
AT3404000,Lauteracher Ried,AT,A,3,2,2020,2024,3
AT3405000,Bregenzerachschlucht,AT,B,4,1,2022,2024,2
AT3408000,Bangs - Matschels,AT,C,6,2,2018,2025,4
AT3411000,Klostertaler Bergwälder,AT,A,3,1,2019,2025,2
AT3412000,Verwall,AT,A,1,1,2025,2025,1
AT3414000,Leiblach,AT,B,2,1,2020,2021,2
AT3423000,"Soren, Gleggen-Köblern, Schweizer Ried und Birken-Schwarzes Zeug",AT,C,8,2,1999,2022,4
AT3438000,Ifen,AT,B,2,1,2021,2024,2
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,BE,B,6868,22,1969,2025,42
BE1000002,Zones boisées et ouvertes au Sud de la Région bruxelloise - complexe Verrewinkel - Kinsendael,BE,B,67,6,1994,2025,13
BE1000003,Zones boisées et zones humides de la Vallée du Molenbeek dans le Nord-Ouest de la Région bruxelloise,BE,B,1674,13,1967,2025,34
BE2100015,Kalmthoutse Heide,BE,B,1371,16,1985,2025,27
BE2100016,Klein en Groot Schietveld,BE,B,458,24,1980,2025,35
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,BE,B,3072,23,1973,2025,41
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",BE,B,773,14,1977,2025,25
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",BE,B,595,14,1974,2025,29
BE2100024,"Vennen, heiden en moerassen rond Turnhout",BE,B,6199,26,1975,2025,38
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",BE,B,3929,30,1968,2025,44
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",BE,B,14389,28,1976,2025,37
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,BE,B,1658,18,1986,2025,30
BE2100323,Kalmthoutse Heide,BE,A,1392,16,1985,2025,27
BE2100424,De Zegge,BE,A,218,13,1971,2025,22
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",BE,A,1670,23,1980,2025,34
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",BE,A,3409,27,1964,2025,38
BE2101639,Ronde Put,BE,A,1105,25,1973,2025,33
BE2200028,De Maten,BE,B,1332,23,1986,2025,34
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",BE,B,1682,18,1980,2025,32
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,BE,B,305,12,1992,2025,22
