SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT1108813,Bernstein - Lockenhaus - Rechnitz,AT,B,2019,2025,7,27,7,0,0.0
AT1110137,Neusiedler See - Nordöstliches Leithagebirge,AT,C,2001,2025,13,140,25,12,0.48
AT1119622,Auwiesen Zickenbachtal,AT,A,2023,2023,1,1,1,0,0.0
AT1122916,Lafnitztal,AT,B,2013,2022,4,7,10,6,0.6
AT1123323,Mattersburger Hügelland,AT,C,2020,2025,2,2,6,4,0.6666666666666666
AT1125129,Parndorfer Platte - Heideboden,AT,A,2021,2025,4,6,5,1,0.2
AT1126129,Waasen - Hanság,AT,A,2012,2025,7,25,14,7,0.5
AT1127119,Burgenländische Leithaauen,AT,B,2023,2023,1,2,1,0,0.0
AT1201000,Waldviertel,AT,A,2019,2025,7,44,7,0,0.0
AT1201A00,"Waldviertler Teich-, Heide- und Moorlandschaft",AT,B,2018,2025,8,55,8,0,0.0
AT1202000,March-Thaya-Auen,AT,B,1998,2025,11,37,28,17,0.6071428571428571
AT1202V00,March-Thaya-Auen,AT,A,1998,2025,10,38,28,18,0.6428571428571429
AT1203000,Ötscher - Dürrenstein,AT,A,1978,2025,7,25,48,41,0.8541666666666666
AT1203A00,Ötscher - Dürrenstein,AT,B,1978,2025,9,27,48,39,0.8125
AT1204000,Donau-Auen östlich von Wien,AT,B,1998,2025,14,111,28,14,0.5
AT1204V00,Donau-Auen östlich von Wien,AT,A,1998,2025,14,110,28,14,0.5
AT1205000,Wachau - Jauerling,AT,A,2016,2025,8,74,10,2,0.2
AT1205A00,Wachau,AT,B,2016,2025,8,46,10,2,0.2
AT1206A00,Weinviertler Klippenzone,AT,B,2014,2014,1,1,1,0,0.0
AT1207000,Kamp- und Kremstal,AT,A,2006,2025,9,39,20,11,0.55
AT1207A00,Kamp- und Kremstal,AT,B,1995,2025,11,44,31,20,0.6451612903225806
AT1209000,Westliches Weinviertel,AT,A,2021,2025,5,13,5,0,0.0
AT1209A00,Westliches Weinviertel,AT,B,2021,2024,4,6,4,0,0.0
AT1210000,Steinfeld,AT,A,2020,2022,3,10,3,0,0.0
AT1210A00,Steinfeld,AT,B,2021,2024,3,3,4,1,0.25
AT1211000,Wienerwald - Thermenregion,AT,A,1985,2025,14,310,41,27,0.6585365853658537
AT1211A00,Wienerwald - Thermenregion,AT,B,1985,2025,13,270,41,28,0.6829268292682927
AT1212000,Nordöstliche Randalpen,AT,A,2020,2023,3,6,4,1,0.25
AT1212A00,Nordöstliche Randalpen: Hohe Wand - Schneeberg - Rax,AT,B,1998,2025,10,97,28,18,0.6428571428571429
AT1213000,Pannonische Sanddünen,AT,B,2011,2025,6,13,15,9,0.6
AT1213V00,Sandboden und Praterterrasse,AT,A,2011,2025,6,20,15,9,0.6
AT1214000,Hundsheimer Berge,AT,B,2022,2025,2,4,4,2,0.5
AT1216000,Tullnerfelder Donau-Auen,AT,B,1960,2025,12,99,66,54,0.8181818181818182
AT1216V00,Tullnerfelder Donau-Auen,AT,A,1960,2025,12,99,66,54,0.8181818181818182
AT1217A00,Strudengau - Nibelungengau,AT,B,2020,2024,5,13,5,0,0.0
AT1218000,Machland Süd,AT,B,2003,2025,5,6,23,18,0.782608695652174
AT1218V00,Machland Süd,AT,A,2020,2021,2,2,2,0,0.0
AT1219000,Niederösterreichische Alpenvorlandflüsse,AT,B,2012,2025,10,99,14,4,0.2857142857142857
AT1219V00,Pielachtal,AT,A,2019,2025,6,12,7,1,0.14285714285714285
AT1220000,Feuchte Ebene - Leithaauen,AT,B,2009,2025,10,62,17,7,0.4117647058823529
AT1220V00,Feuchte Ebene - Leithaauen,AT,A,2009,2025,9,29,17,8,0.47058823529411764
AT1301000,Nationalpark Donau-Auen (Wiener Teil),AT,C,2009,2025,11,129,17,6,0.35294117647058826
AT1302000,Naturschutzgebiet Lainzer Tiergarten,AT,C,2018,2023,5,14,6,1,0.16666666666666666
AT1303000,"Landschaftsschutzgebiet Liesing (Teil A, B und C)",AT,C,2005,2024,6,12,20,14,0.7
AT1304000,Bisamberg (Wiener Teil),AT,C,2020,2025,5,6,6,1,0.16666666666666666
AT1305000,Leopoldsberg,AT,B,2021,2021,1,2,1,0,0.0
AT2102000,Nockberge,AT,B,2025,2025,1,1,1,0,0.0
AT2114000,Obere Drau,AT,C,2019,2025,6,19,7,1,0.14285714285714285
AT2116000,Görtschacher Moos - Obermoos im Gailtal,AT,C,2021,2024,2,2,4,2,0.5
AT2117000,Turner See,AT,C,2023,2023,1,2,1,0,0.0
AT2120000,Schütt - Graschelitzen,AT,C,2020,2024,3,9,5,2,0.4
AT2124000,Untere Lavant,AT,C,2019,2025,4,5,7,3,0.42857142857142855
AT2126000,Tiebelmündung - Bleistätter Moor,AT,C,2017,2025,6,28,9,3,0.3333333333333333
AT2130000,Lendspitz-Maiernigg,AT,C,2019,2025,5,12,7,2,0.2857142857142857
AT2138000,Gurkmündung,AT,B,2020,2020,1,1,1,0,0.0
AT2140000,Millstätter See-Süd,AT,B,2022,2022,1,1,1,0,0.0
AT2148000,Krampelgraben bei Höhenbergen,AT,B,2014,2014,1,1,1,0,0.0
AT2158000,Ossiacher Tauern,AT,B,2018,2024,5,21,7,2,0.2857142857142857
AT2164000,Rosegger Drauschleife und Umgebung,AT,B,2016,2022,3,8,7,4,0.5714285714285714
AT2169000,Kleinobir,AT,B,2013,2013,1,1,1,0,0.0
AT2205000,Pürgschachen-Moos und ennsnahe Bereiche zwischen Selzthal und dem Gesäuseeingang,AT,C,2013,2025,8,15,13,5,0.38461538461538464
AT2208000,Lafnitztal - Neudauer Teiche,AT,C,2019,2025,6,12,7,1,0.14285714285714285
AT2209000,Niedere Tauern,AT,A,2020,2022,2,2,3,1,0.3333333333333333
AT2210000,Ennstaler Alpen/Gesäuse,AT,C,2022,2025,2,3,4,2,0.5
AT2211000,Hartberger-Gmoos,AT,C,2018,2025,3,4,8,5,0.625
AT2212000,Wörschacher Moos und ennsnahe Bereiche,AT,C,2021,2025,2,2,5,3,0.6
AT2213000,Steirische Grenzmur mit Gamlitzbach und Gnasbach,AT,C,1991,2025,9,49,35,26,0.7428571428571429
AT2214000,Deutschlandsberger Klause,AT,B,2022,2022,1,1,1,0,0.0
AT2218000,Feistritzklamm/Herberstein,AT,C,2019,2023,4,5,5,1,0.2
AT2225000,"Demmerkogel-Südhänge, Wellinggraben mit Sulm-, Saggau- und Laßnitzabschnitten und Pößnitzbach",AT,C,2016,2025,8,12,10,2,0.2
AT2229000,Teile des Steirischen Jogl- und Wechsellandes,AT,A,2019,2025,6,17,7,1,0.14285714285714285
AT2229002,Ennstal zwischen Liezen und Niederstuttern,AT,A,2018,2025,5,9,8,3,0.375
AT2230000,Teile des südoststeirischen Hügellandes inklusive Höll und Grabenlandbäche,AT,C,2013,2025,8,11,13,5,0.38461538461538464
AT2233000,Raabklamm,AT,C,2022,2022,1,1,1,0,0.0
AT2236000,"Ober- und Mittellauf der Mur mit Puxer Auwald, Puxer Wand und Gulsen",AT,B,2020,2025,5,15,6,1,0.16666666666666666
AT2240000,Ennsaltarme bei Niederstuttern,AT,B,2018,2025,3,3,8,5,0.625
AT2241000,Südlich gelegene Talbereiche der Göstlinger Alpen,AT,B,2023,2023,1,1,1,0,0.0
AT2243000,Totes Gebirge mit Altausseer See,AT,C,2013,2024,4,6,12,8,0.6666666666666666
AT2244000,Flaumeichenwälder im Grazer Bergland,AT,B,2025,2025,1,1,1,0,0.0
AT2245000,Schloss Eggenberg,AT,B,2023,2023,1,1,1,0,0.0
AT2246000,Wildoner Buchkogel,AT,B,2008,2015,3,3,8,5,0.625
AT2247000,Wundschuh-Neuteich,AT,B,2020,2021,2,4,2,0,0.0
AT2248000,Südsteirische Teichlandschaft,AT,B,2025,2025,1,1,1,0,0.0
AT3101000,Dachstein,AT,C,2021,2021,1,1,1,0,0.0
AT3103000,Pfeifer Anger,AT,A,2019,2024,5,8,6,1,0.16666666666666666
AT3105000,Unterer Inn,AT,C,1936,2024,25,331,89,64,0.7191011235955056
AT3108000,Tal der Kleinen Gusen,AT,B,2023,2023,1,1,1,0,0.0
AT3109000,Heißländen und Auwälder an der Traun,AT,B,2025,2025,1,1,1,0,0.0
AT3110000,Ettenau,AT,C,2003,2024,8,15,22,14,0.6363636363636364
AT3111000,Nationalpark Kalkalpen und Umgebung,AT,C,2021,2023,3,7,3,0,0.0
AT3113000,Untere Traun,AT,A,1980,2025,14,42,46,32,0.6956521739130435
AT3114000,Traun-Donau-Auen,AT,C,1997,2025,7,11,29,22,0.7586206896551724
AT3115000,Maltsch,AT,C,1984,2011,3,3,28,25,0.8928571428571429
AT3117000,Mond- und Attersee,AT,B,1981,2025,14,37,45,31,0.6888888888888889
AT3118000,Salzachauen,AT,B,2003,2023,5,9,21,16,0.7619047619047619
AT3119000,Auwälder am Unteren Inn,AT,B,1999,2024,14,26,26,12,0.46153846153846156
AT3120000,Waldaist und Naarn,AT,B,1986,2024,8,8,39,31,0.7948717948717948
AT3121000,Böhmerwald und Mühltäler,AT,B,1990,2025,9,17,36,27,0.75
AT3122000,Oberes Donau- und Aschachtal,AT,B,2000,2025,18,73,26,8,0.3076923076923077
AT3123000,Wiesengebiete und Seen im Alpenvorland,AT,B,2015,2025,8,14,11,3,0.2727272727272727
