taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
2225776,"Eriocheir sinensis H.Milne Edwards, 1853",13724,177,8,1936,2025,50,89,0.5555555555555556
2226990,"Pacifastacus leniusculus (Dana, 1852)",17562,602,17,1905,2025,41,120,0.33884297520661155
2227000,"Orconectes limosus (Rafinesque, 1817)",14038,335,5,1985,2025,41,40,1.0
2227300,"Procambarus clarkii (Girard, 1852)",10105,637,9,1985,2025,36,40,0.8780487804878049
2340977,"Ameiurus melas (Rafinesque, 1820)",12599,301,13,1981,2025,44,44,0.9777777777777777
2350570,"Gambusia holbrooki Girard, 1859",3916,312,10,1990,2025,34,35,0.9444444444444444
2350573,"Gambusia holbrocki Girard, 1859",96,32,1,1956,2022,24,66,0.3582089552238806
2350580,"Gambusia affinis (Baird & Girard, 1853)",3401,74,2,1980,2020,33,40,0.8048780487804879
2362868,"Pseudorasbora parva (Temminck & Schlegel, 1846)",49488,390,17,1990,2025,35,35,0.9722222222222222
2390064,"Perccottus glenii Dybowski, 1877",13,9,4,2014,2025,5,11,0.4166666666666667
2394486,"Lepomis gibbosus (Linnaeus, 1758)",68150,809,19,1975,2025,49,50,0.9607843137254902
2427091,"Lithobates catesbeianus (Shaw, 1802)",9802,54,7,1996,2025,29,29,0.9666666666666667
2427092,"Rana catesbeiana Shaw, 1802",2,2,1,2024,2024,1,0,1.0
2433536,"Nasua nasua (Linnaeus, 1766)",4,4,2,2019,2024,3,5,0.5
2434271,"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)",4,2,1,2014,2023,2,9,0.2
2434282,"Herpestes auropunctatus (Hodgson, 1836)",6,3,1,2010,2011,2,1,1.0
2434552,"Nyctereutes procyonoides (Gray, 1834)",799,313,15,1981,2025,26,44,0.5777777777777777
2437394,"Callosciurus erythraeus (Pallas, 1779)",248,6,3,2006,2025,15,19,0.75
2437399,"Callosciurus finlaysonii (Horsfield, 1823)",11,6,1,2015,2025,6,10,0.5454545454545454
2437450,"Tamias sibiricus (Laxmann, 1769)",6,5,3,2003,2025,4,22,0.17391304347826086
2440934,"Axis axis (Erxleben, 1777)",119,5,2,2021,2023,3,2,1.0
2440946,"Muntiacus reevesi (Ogilby, 1839)",129,26,1,2014,2025,12,11,1.0
2443002,"Trachemys scripta (Thunberg In Schoepff, 1792)",6380,765,23,1973,2025,35,52,0.660377358490566
2480764,"Threskiornis aethiopicus (Latham, 1790)",6925,415,13,1989,2025,36,36,0.972972972972973
2482499,"Corvus splendens Vieillot, 1817",5,4,2,2019,2020,2,1,1.0
2486131,"Pycnonotus cafer (Linnaeus, 1766)",14,6,2,2012,2023,4,11,0.3333333333333333
2489005,"Acridotheres tristis (Linnaeus, 1766)",26,7,5,1998,2025,9,27,0.32142857142857145
2498252,"Alopochen aegyptiaca (Linnaeus, 1766)",204217,2077,19,1969,2025,49,56,0.8596491228070176
2498305,"Oxyura jamaicensis (J.F.Gmelin, 1789)",4597,213,12,1979,2025,45,46,0.9574468085106383
2502792,"Arthurdendyus triangulatus (Dendy, 1895)",3,3,1,2014,2017,2,3,0.5
2702865,Ehrharta calycina Sm.,7,5,2,2002,2024,4,22,0.17391304347826086
2706134,Pennisetum setaceum (Forssk.) Chiov.,174,61,4,2008,2025,17,17,0.9444444444444444
2765940,Eichhornia crassipes (Mart.) Solms,58,26,6,2000,2025,16,25,0.6153846153846154
2765942,Pontederia crassipes Mart.,256,26,5,2005,2025,16,20,0.7619047619047619
